scope,parent_residue,close_child_residue,near_miss_child_residue,close_remainder,near_miss_remainder,close_margin,near_miss_margin,margin_gap,close_rank,near_miss_rank,prefix_sequence_match,prefix_component_delta_match,close_prefinal_width,near_miss_prefinal_width,width_delta,reflection_pair_match
B7_birth_parent_siblings,13341,13341,73401,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,13348,493828,433768,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,13389,373749,313689,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,13419,193599,133539,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,13491,283761,343821,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,13539,193719,253779,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,13551,373911,313851,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,13562,494042,43592,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,13671,434091,494151,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,13719,283989,223929,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,13738,434158,374098,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,13749,43779,103839,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,13761,223971,163911,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,13809,133929,73869,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,13881,224091,284151,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,13940,164090,224150,6,5,5/221,-4/119,87/1547,1,2,True,True,1/91,1/91,0,False
B7_birth_parent_siblings,13952,434372,494432,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,13959,404349,464409,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,13971,74031,13971,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14001,344331,404391,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,14049,194229,134169,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,14128,374488,314428,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,14169,254409,314469,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14181,434601,374541,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14199,74259,14199,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,14271,164421,224481,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,14331,254571,314631,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,14342,374702,434762,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,14379,104469,44409,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,14391,284661,224601,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14486,284756,344816,6,5,5/221,-4/119,87/1547,1,2,True,True,1/91,1/91,0,False
B7_birth_parent_siblings,14494,404884,464944,12,11,1/187,-2/85,27/935,1,2,True,True,1/55,1/55,0,False
B7_birth_parent_siblings,14518,314818,254758,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,14601,134721,74661,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14799,315099,375159,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14811,495291,435231,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,14979,465429,405369,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,14991,75051,135111,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,15009,165159,225219,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15021,345351,285291,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15039,435459,375399,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,15051,45081,105141,14,13,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
B7_birth_parent_siblings,15219,15219,75279,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15231,195411,135351,13,14,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15429,375789,435849,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15512,195692,255752,5,4,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,15536,105626,45566,5,6,1/187,-2/85,27/935,1,2,True,True,1/55,1/55,0,False
B7_birth_parent_siblings,15544,225754,165694,11,12,5/221,-4/119,87/1547,1,2,True,True,1/91,1/91,0,False
B7_birth_parent_siblings,15639,225849,285909,4,3,1/119,-3/68,25/476,1,2,True,True,1/28,1/28,0,False
B7_birth_parent_siblings,15651,406041,466101,13,12,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,15688,135808,75748,12,13,1/221,-3/85,44/1105,1,2,True,True,2/65,2/65,0,False
B7_birth_parent_siblings,15699,255939,195879,4,5,1/68,-7/187,39/748,1,2,True,True,1/44,1/44,0,False
B7_birth_parent_siblings,15759,346089,286029,3,4,3/221,-2/51,35/663,1,2,True,True,1/39,1/39,0,False
