parent_residue,child_residue,lift_remainder,sibling_role,phase_margin,aperture_tension,phase_rank,transition_label,component_delta,parent_uncovered_exact,child_covered_exact,child_projects_to_parent,parent_gap_count_exact,child_gap_count_exact,exact_b8_birth
121701,7779351,10,sibling_nonbirth,-31/133,31/133,10,miss,0,True,False,True,1,1,False
121701,7268841,11,sibling_nonbirth,-24/133,24/133,8,miss,0,True,False,True,1,1,False
121701,6758331,12,sibling_nonbirth,-17/133,17/133,6,miss,0,True,False,True,1,1,False
121701,6247821,13,sibling_nonbirth,-10/133,10/133,4,miss,0,True,False,True,1,1,False
121701,5737311,14,sibling_nonbirth,-3/133,3/133,2,miss,0,True,False,True,1,1,False
121701,5226801,15,birth_close,2/209,-2/209,1,close,-1,True,True,True,1,0,True
121701,4716291,16,sibling_nonbirth,-9/209,9/209,3,miss,0,True,False,True,1,1,False
121701,4205781,17,sibling_nonbirth,-20/209,20/209,5,miss,0,True,False,True,1,1,False
121701,3695271,18,sibling_nonbirth,-31/209,31/209,7,miss,0,True,False,True,1,1,False
128319,6254439,0,sibling_nonbirth,-25/133,25/133,8,miss,0,True,False,True,1,1,False
128319,5743929,1,sibling_nonbirth,-18/133,18/133,6,miss,0,True,False,True,1,1,False
128319,5233419,2,sibling_nonbirth,-11/133,11/133,4,miss,0,True,False,True,1,1,False
128319,4722909,3,sibling_nonbirth,-4/133,4/133,2,miss,0,True,False,True,1,1,False
128319,4212399,4,birth_close,7/323,-7/323,1,close,-1,True,True,True,1,0,True
128319,3701889,5,sibling_nonbirth,-10/323,10/323,3,miss,0,True,False,True,1,1,False
128319,3191379,6,sibling_nonbirth,-27/323,27/323,5,miss,0,True,False,True,1,1,False
128319,2680869,7,sibling_nonbirth,-44/323,44/323,7,miss,0,True,False,True,1,1,False
128319,2170359,8,sibling_nonbirth,-61/323,61/323,9,miss,0,True,False,True,1,1,False
128319,1659849,9,sibling_nonbirth,-78/323,78/323,11,miss,0,True,False,True,1,1,False
128319,1149339,10,sibling_nonbirth,-5/17,5/17,13,miss,0,True,False,True,1,1,False
128319,638829,11,sibling_nonbirth,-112/323,112/323,15,miss,0,True,False,True,1,1,False
128319,128319,12,sibling_nonbirth,-129/323,129/323,17,miss,0,True,False,True,1,1,False
128319,9317499,13,sibling_nonbirth,-146/323,146/323,19,miss,0,True,False,True,1,1,False
128319,8806989,14,sibling_nonbirth,-60/133,60/133,18,miss,0,True,False,True,1,1,False
128319,8296479,15,sibling_nonbirth,-53/133,53/133,16,miss,0,True,False,True,1,1,False
128319,7785969,16,sibling_nonbirth,-46/133,46/133,14,miss,0,True,False,True,1,1,False
128319,7275459,17,sibling_nonbirth,-39/133,39/133,12,miss,0,True,False,True,1,1,False
128319,6764949,18,sibling_nonbirth,-32/133,32/133,10,miss,0,True,False,True,1,1,False
133346,2175386,0,sibling_nonbirth,-61/209,61/209,12,miss,0,True,False,True,1,1,False
133346,1664876,1,sibling_nonbirth,-50/209,50/209,10,miss,0,True,False,True,1,1,False
133346,1154366,2,sibling_nonbirth,-39/209,39/209,8,miss,0,True,False,True,1,1,False
133346,643856,3,sibling_nonbirth,-28/209,28/209,6,miss,0,True,False,True,1,1,False
133346,133346,4,sibling_nonbirth,-17/209,17/209,4,miss,0,True,False,True,1,1,False
133346,9322526,5,sibling_nonbirth,-6/209,6/209,2,miss,0,True,False,True,1,1,False
133346,8812016,6,birth_close,1/95,-1/95,1,close,-1,True,True,True,1,0,True
133346,8301506,7,sibling_nonbirth,-4/95,4/95,3,miss,0,True,False,True,1,1,False
133346,7790996,8,sibling_nonbirth,-9/95,9/95,5,miss,0,True,False,True,1,1,False
133346,7280486,9,sibling_nonbirth,-14/95,14/95,7,miss,0,True,False,True,1,1,False
133346,6769976,10,sibling_nonbirth,-1/5,1/5,9,miss,0,True,False,True,1,1,False
133346,6259466,11,sibling_nonbirth,-24/95,24/95,11,miss,0,True,False,True,1,1,False
133346,5748956,12,sibling_nonbirth,-29/95,29/95,13,miss,0,True,False,True,1,1,False
133346,5238446,13,sibling_nonbirth,-34/95,34/95,15,miss,0,True,False,True,1,1,False
133346,4727936,14,sibling_nonbirth,-39/95,39/95,17,miss,0,True,False,True,1,1,False
133346,4217426,15,sibling_nonbirth,-44/95,44/95,19,miss,0,True,False,True,1,1,False
133346,3706916,16,sibling_nonbirth,-94/209,94/209,18,miss,0,True,False,True,1,1,False
133346,3196406,17,sibling_nonbirth,-83/209,83/209,16,miss,0,True,False,True,1,1,False
133346,2685896,18,sibling_nonbirth,-72/209,72/209,14,miss,0,True,False,True,1,1,False
144182,5249282,0,sibling_nonbirth,-77/323,77/323,10,miss,0,True,False,True,1,1,False
144182,4738772,1,sibling_nonbirth,-60/323,60/323,8,miss,0,True,False,True,1,1,False
144182,4228262,2,sibling_nonbirth,-43/323,43/323,6,miss,0,True,False,True,1,1,False
144182,3717752,3,sibling_nonbirth,-26/323,26/323,4,miss,0,True,False,True,1,1,False
144182,3207242,4,sibling_nonbirth,-9/323,9/323,2,miss,0,True,False,True,1,1,False
