scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B5_birth_parent_siblings,148,2248,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>1>4
B5_birth_parent_siblings,152,152,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>9
B5_birth_parent_siblings,152,362,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>10
B5_birth_parent_siblings,152,572,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>0
B5_birth_parent_siblings,152,782,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>1
B5_birth_parent_siblings,152,992,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>2
B5_birth_parent_siblings,152,1202,3,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>2>2>5>3
B5_birth_parent_siblings,152,1412,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>4
B5_birth_parent_siblings,152,1622,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>5
B5_birth_parent_siblings,152,1832,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>6
B5_birth_parent_siblings,152,2042,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>7
B5_birth_parent_siblings,152,2252,8,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>5>8
B5_birth_parent_siblings,178,178,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>2
B5_birth_parent_siblings,178,388,3,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>3
B5_birth_parent_siblings,178,598,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>4
B5_birth_parent_siblings,178,808,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>5
B5_birth_parent_siblings,178,1018,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>6
B5_birth_parent_siblings,178,1228,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>7
B5_birth_parent_siblings,178,1438,8,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>1>3>3>8
B5_birth_parent_siblings,178,1648,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>9
B5_birth_parent_siblings,178,1858,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>10
B5_birth_parent_siblings,178,2068,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>0
B5_birth_parent_siblings,178,2278,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>3>1
B5_birth_parent_siblings,182,182,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>6
B5_birth_parent_siblings,182,392,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>7
B5_birth_parent_siblings,182,602,8,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>8
B5_birth_parent_siblings,182,812,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>9
B5_birth_parent_siblings,182,1022,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>10
B5_birth_parent_siblings,182,1232,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>0>0
