birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
7,209691,29511,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,210831,621,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,211569,1359,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,213261,3051,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,213489,3279,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,215139,4929,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,215301,5091,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,215368,5158,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,215582,5372,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,216638,6428,17,7,1,9/22-11/26,2/143,1/17,109/2431,4/221
7,216669,6459,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,216831,6621,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,218709,8499,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,218975,8765,17,15,1,19/22-9/10,2/55,1/17,21/935,2/187
7,220119,9909,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,220401,10191,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,221998,11788,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,222212,12002,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,222279,12069,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,223436,13226,17,5,1,3/10-7/22,1/55,1/17,38/935,1/187
7,223971,13761,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,224091,13881,17,14,1,21/26-5/6,1/39,1/17,22/663,3/221
7,225754,15544,17,11,1,9/14-17/26,1/91,1/17,74/1547,5/221
7,225849,15639,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
7,226521,16311,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,226749,16539,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,227541,17331,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,227889,17679,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,228628,18418,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,228842,18632,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
