parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
4,5,210,2310,17,1067,11,0,1,5/6-1/4,0-1/22;21/22-1,0,2,5/6-21/22;1/22-1/4,not_close,False
4,5,210,2310,17,1277,11,1,1,5/6-1/4,1/22-3/22,0,3,5/6-1;0-1/22;3/22-1/4,not_close,False
4,5,210,2310,17,1487,11,2,1,5/6-1/4,3/22-5/22,0,3,5/6-1;0-3/22;5/22-1/4,not_close,False
4,5,210,2310,17,1697,11,3,1,5/6-1/4,5/22-7/22,0,2,5/6-1;0-5/22,not_close,False
4,5,210,2310,17,1907,11,4,1,5/6-1/4,7/22-9/22,0,2,5/6-1;0-1/4,not_close,False
4,5,210,2310,17,2117,11,5,1,5/6-1/4,9/22-1/2,0,2,5/6-1;0-1/4,not_close,False
4,5,210,2310,18,18,11,7,2,1/4-1/2;7/10-3/4,13/22-15/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,228,11,8,2,1/4-1/2;7/10-3/4,15/22-17/22,1,1,1/4-1/2,not_close,False
4,5,210,2310,18,438,11,9,2,1/4-1/2;7/10-3/4,17/22-19/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,648,11,10,2,1/4-1/2;7/10-3/4,19/22-21/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,858,11,0,2,1/4-1/2;7/10-3/4,0-1/22;21/22-1,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,1068,11,1,2,1/4-1/2;7/10-3/4,1/22-3/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,1278,11,2,2,1/4-1/2;7/10-3/4,3/22-5/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,1488,11,3,2,1/4-1/2;7/10-3/4,5/22-7/22,0,2,7/22-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,1698,11,4,2,1/4-1/2;7/10-3/4,7/22-9/22,0,3,1/4-7/22;9/22-1/2;7/10-3/4,not_close,False
4,5,210,2310,18,1908,11,5,2,1/4-1/2;7/10-3/4,9/22-1/2,0,2,1/4-9/22;7/10-3/4,not_close,False
4,5,210,2310,18,2118,11,6,2,1/4-1/2;7/10-3/4,1/2-13/22,0,2,1/4-1/2;7/10-3/4,not_close,False
4,5,210,2310,19,19,11,8,1,9/10-1/6,15/22-17/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,229,11,9,1,9/10-1/6,17/22-19/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,439,11,10,1,9/10-1/6,19/22-21/22,0,2,21/22-1;0-1/6,not_close,False
4,5,210,2310,19,649,11,0,1,9/10-1/6,0-1/22;21/22-1,0,2,9/10-21/22;1/22-1/6,not_close,False
4,5,210,2310,19,859,11,1,1,9/10-1/6,1/22-3/22,0,3,9/10-1;0-1/22;3/22-1/6,not_close,False
4,5,210,2310,19,1069,11,2,1,9/10-1/6,3/22-5/22,0,2,9/10-1;0-3/22,not_close,False
4,5,210,2310,19,1279,11,3,1,9/10-1/6,5/22-7/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,1489,11,4,1,9/10-1/6,7/22-9/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,1699,11,5,1,9/10-1/6,9/22-1/2,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,1909,11,6,1,9/10-1/6,1/2-13/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,19,2119,11,7,1,9/10-1/6,13/22-15/22,0,2,9/10-1;0-1/6,not_close,False
4,5,210,2310,20,20,11,9,1,1/4-1/2,17/22-19/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,230,11,10,1,1/4-1/2,19/22-21/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,440,11,0,1,1/4-1/2,0-1/22;21/22-1,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,650,11,1,1,1/4-1/2,1/22-3/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,860,11,2,1,1/4-1/2,3/22-5/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,1070,11,3,1,1/4-1/2,5/22-7/22,0,1,7/22-1/2,not_close,False
4,5,210,2310,20,1280,11,4,1,1/4-1/2,7/22-9/22,0,2,1/4-7/22;9/22-1/2,not_close,False
4,5,210,2310,20,1490,11,5,1,1/4-1/2,9/22-1/2,0,1,1/4-9/22,not_close,False
4,5,210,2310,20,1700,11,6,1,1/4-1/2,1/2-13/22,0,1,1/4-1/2,not_close,False
4,5,210,2310,20,1910,11,7,1,1/4-1/2,13/22-15/22,0,1,1/4-1/2,not_close,False
