selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,3404,9,6640034,miss,-12/133,4,12/133,pure_miss
capacity_top_200,3404,10,6129524,miss,-1/7,6,1/7,pure_miss
capacity_top_200,3404,11,5619014,miss,-26/133,8,26/133,pure_miss
capacity_top_200,3404,12,5108504,miss,-33/133,10,33/133,pure_miss
capacity_top_200,3404,13,4597994,miss,-40/133,12,40/133,pure_miss
capacity_top_200,3404,14,4087484,miss,-47/133,14,47/133,pure_miss
capacity_top_200,3404,15,3576974,miss,-54/133,16,54/133,pure_miss
capacity_top_200,3404,16,3066464,miss,-61/133,18,61/133,pure_miss
capacity_top_200,3404,17,2555954,miss,-102/209,19,102/209,pure_miss
capacity_top_200,3404,18,2045444,miss,-91/209,17,91/209,pure_miss
capacity_top_200,3526,0,5619136,miss,-80/209,15,80/209,pure_miss
capacity_top_200,3526,1,5108626,miss,-91/209,17,91/209,pure_miss
capacity_top_200,3526,2,4598116,miss,-102/209,19,102/209,pure_miss
capacity_top_200,3526,3,4087606,miss,-61/133,18,61/133,pure_miss
capacity_top_200,3526,4,3577096,miss,-54/133,16,54/133,pure_miss
capacity_top_200,3526,5,3066586,miss,-47/133,14,47/133,pure_miss
capacity_top_200,3526,6,2556076,miss,-40/133,12,40/133,pure_miss
capacity_top_200,3526,7,2045566,miss,-33/133,10,33/133,pure_miss
capacity_top_200,3526,8,1535056,miss,-26/133,8,26/133,pure_miss
capacity_top_200,3526,9,1024546,miss,-1/7,6,1/7,pure_miss
capacity_top_200,3526,10,514036,miss,-12/133,4,12/133,pure_miss
capacity_top_200,3526,11,3526,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,3526,12,9192706,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,3526,13,8682196,miss,-14/209,3,14/209,pure_miss
capacity_top_200,3526,14,8171686,miss,-25/209,5,25/209,pure_miss
capacity_top_200,3526,15,7661176,miss,-36/209,7,36/209,pure_miss
capacity_top_200,3526,16,7150666,miss,-47/209,9,47/209,pure_miss
capacity_top_200,3526,17,6640156,miss,-58/209,11,58/209,pure_miss
capacity_top_200,3526,18,6129646,miss,-69/209,13,69/209,pure_miss
capacity_top_200,4328,0,7661978,miss,-80/209,15,80/209,pure_miss
capacity_top_200,4328,1,7151468,miss,-69/209,13,69/209,pure_miss
capacity_top_200,4328,2,6640958,miss,-58/209,11,58/209,pure_miss
capacity_top_200,4328,3,6130448,miss,-47/209,9,47/209,pure_miss
capacity_top_200,4328,4,5619938,miss,-36/209,7,36/209,pure_miss
capacity_top_200,4328,5,5109428,miss,-25/209,5,25/209,pure_miss
capacity_top_200,4328,6,4598918,miss,-14/209,3,14/209,pure_miss
capacity_top_200,4328,7,4088408,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,4328,8,3577898,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,4328,9,3067388,miss,-12/133,4,12/133,pure_miss
capacity_top_200,4328,10,2556878,miss,-1/7,6,1/7,pure_miss
capacity_top_200,4328,11,2046368,miss,-26/133,8,26/133,pure_miss
capacity_top_200,4328,12,1535858,miss,-33/133,10,33/133,pure_miss
capacity_top_200,4328,13,1025348,miss,-40/133,12,40/133,pure_miss
capacity_top_200,4328,14,514838,miss,-47/133,14,47/133,pure_miss
capacity_top_200,4328,15,4328,miss,-54/133,16,54/133,pure_miss
capacity_top_200,4328,16,9193508,miss,-61/133,18,61/133,pure_miss
capacity_top_200,4328,17,8682998,miss,-102/209,19,102/209,pure_miss
capacity_top_200,4328,18,8172488,miss,-91/209,17,91/209,pure_miss
capacity_top_200,4450,0,2046490,miss,-80/209,15,80/209,pure_miss
capacity_top_200,4450,1,1535980,miss,-91/209,17,91/209,pure_miss
capacity_top_200,4450,2,1025470,miss,-102/209,19,102/209,pure_miss
capacity_top_200,4450,3,514960,miss,-61/133,18,61/133,pure_miss
capacity_top_200,4450,4,4450,miss,-54/133,16,54/133,pure_miss
capacity_top_200,4450,5,9193630,miss,-47/133,14,47/133,pure_miss
capacity_top_200,4450,6,8683120,miss,-40/133,12,40/133,pure_miss
capacity_top_200,4450,7,8172610,miss,-33/133,10,33/133,pure_miss
capacity_top_200,4450,8,7662100,miss,-26/133,8,26/133,pure_miss
capacity_top_200,4450,9,7151590,miss,-1/7,6,1/7,pure_miss
capacity_top_200,4450,10,6641080,miss,-12/133,4,12/133,pure_miss
capacity_top_200,4450,11,6130570,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,4450,12,5620060,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,4450,13,5109550,miss,-14/209,3,14/209,pure_miss
capacity_top_200,4450,14,4599040,miss,-25/209,5,25/209,pure_miss
capacity_top_200,4450,15,4088530,miss,-36/209,7,36/209,pure_miss
capacity_top_200,4450,16,3578020,miss,-47/209,9,47/209,pure_miss
capacity_top_200,4450,17,3067510,miss,-58/209,11,58/209,pure_miss
capacity_top_200,4450,18,2557000,miss,-69/209,13,69/209,pure_miss
capacity_top_200,4790,0,1025810,miss,-80/209,15,80/209,pure_miss
capacity_top_200,4790,1,515300,miss,-69/209,13,69/209,pure_miss
capacity_top_200,4790,2,4790,miss,-58/209,11,58/209,pure_miss
capacity_top_200,4790,3,9193970,miss,-47/209,9,47/209,pure_miss
capacity_top_200,4790,4,8683460,miss,-36/209,7,36/209,pure_miss
capacity_top_200,4790,5,8172950,miss,-25/209,5,25/209,pure_miss
capacity_top_200,4790,6,7662440,miss,-14/209,3,14/209,pure_miss
capacity_top_200,4790,7,7151930,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,4790,8,6641420,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,4790,9,6130910,miss,-12/133,4,12/133,pure_miss
capacity_top_200,4790,10,5620400,miss,-1/7,6,1/7,pure_miss
capacity_top_200,4790,11,5109890,miss,-26/133,8,26/133,pure_miss
capacity_top_200,4790,12,4599380,miss,-33/133,10,33/133,pure_miss
capacity_top_200,4790,13,4088870,miss,-40/133,12,40/133,pure_miss
capacity_top_200,4790,14,3578360,miss,-47/133,14,47/133,pure_miss
capacity_top_200,4790,15,3067850,miss,-54/133,16,54/133,pure_miss
capacity_top_200,4790,16,2557340,miss,-61/133,18,61/133,pure_miss
capacity_top_200,4790,17,2046830,miss,-102/209,19,102/209,pure_miss
capacity_top_200,4790,18,1536320,miss,-91/209,17,91/209,pure_miss
capacity_top_200,4912,0,5110012,miss,-80/209,15,80/209,pure_miss
capacity_top_200,4912,1,4599502,miss,-91/209,17,91/209,pure_miss
capacity_top_200,4912,2,4088992,miss,-102/209,19,102/209,pure_miss
capacity_top_200,4912,3,3578482,miss,-61/133,18,61/133,pure_miss
capacity_top_200,4912,4,3067972,miss,-54/133,16,54/133,pure_miss
capacity_top_200,4912,5,2557462,miss,-47/133,14,47/133,pure_miss
capacity_top_200,4912,6,2046952,miss,-40/133,12,40/133,pure_miss
capacity_top_200,4912,7,1536442,miss,-33/133,10,33/133,pure_miss
capacity_top_200,4912,8,1025932,miss,-26/133,8,26/133,pure_miss
