parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,0,2044058,miss,0,-80/209,15,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,1,1533548,miss,0,-69/209,13,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,2,1023038,miss,0,-58/209,11,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,3,512528,miss,0,-47/209,9,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,4,2018,miss,0,-36/209,7,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,5,9191198,miss,0,-25/209,5,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,6,8680688,miss,0,-14/209,3,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,7,8170178,trim,0,-3/209,1,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,8,7659668,trim,0,-5/133,2,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,9,7149158,miss,0,-12/133,4,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,10,6638648,miss,0,-1/7,6,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,11,6128138,miss,0,-26/133,8,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,12,5617628,miss,0,-33/133,10,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,13,5107118,miss,0,-40/133,12,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,14,4596608,miss,0,-47/133,14,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,15,4086098,miss,0,-54/133,16,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,16,3575588,miss,0,-61/133,18,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,17,3065078,miss,0,-102/209,19,False
6,B7_birth_parent_siblings:capacity_nonclose_control:2018:2018,capacity_nonclose,2018,1,4/77,4/77,18,2554568,miss,0,-91/209,17,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,0,5107580,miss,0,-80/209,15,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,1,4597070,miss,0,-69/209,13,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,2,4086560,miss,0,-58/209,11,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,3,3576050,miss,0,-47/209,9,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,4,3065540,miss,0,-36/209,7,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,5,2555030,miss,0,-25/209,5,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,6,2044520,miss,0,-14/209,3,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,7,1534010,trim,0,-3/209,1,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,8,1023500,trim,0,-5/133,2,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,9,512990,miss,0,-12/133,4,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,10,2480,miss,0,-1/7,6,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,11,9191660,miss,0,-26/133,8,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,12,8681150,miss,0,-33/133,10,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,13,8170640,miss,0,-40/133,12,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,14,7660130,miss,0,-47/133,14,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,15,7149620,miss,0,-54/133,16,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,16,6639110,miss,0,-61/133,18,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,17,6128600,miss,0,-102/209,19,False
7,B7_birth_parent_siblings:capacity_nonclose_control:2480:2480,capacity_nonclose,2480,1,4/77,4/77,18,5618090,miss,0,-91/209,17,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,0,9191782,miss,0,-80/209,15,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,1,8681272,miss,0,-91/209,17,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,2,8170762,miss,0,-102/209,19,False
8,B7_birth_parent_siblings:capacity_nonclose_control:2602:2602,capacity_nonclose,2602,1,4/77,4/77,3,7660252,miss,0,-61/133,18,False
