selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,best_lift_remainder,best_phase_margin,best_aperture_tension,best_transition_label,trim_lift_count,miss_lift_count,close_lift_count,positive_margin_lift_count,selection_failure_reason
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,120,250978,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,121,258572,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200,122,262858,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,123,273092,1,3/85,3/85,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,124,302338,1,2/65,2/65,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,125,322382,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,126,325888,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,127,328828,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,128,335638,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,129,358112,1,1/20,1/20,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,130,375118,1,3/85,3/85,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
