n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,poisson_arc_baseline,product_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
120679,11356,0.040094720930076884,0.46914389540180346,0.0657884630432254,0.0657884630432254,0.04797722241270427,0.0005019280028790707,False,False,False,0.9392958161198027,0.0016285142089728089,0.0016285142089728193,0.3082122342645469,0.0011265862060937382,643,4.6060965223998496e-05,0.00013701923548894442,0.0002591968726915167
138950,12923,0.017883342395733748,0.21177220571473096,0.06499756913781338,0.06499756913781338,0.04740044896570317,0.0003535506192489102,False,False,False,0.9396816998924493,0.0012716936683176971,0.001271693668317968,0.27801555363298813,0.000918143049068787,262,5.26715917475995e-05,0.00014528372633750843,0.0002773665292843524
159986,14683,0.06686532509534043,0.801236598507234,0.06423541650332185,0.06423541650332185,0.046844635908756156,0.0004385476959257173,False,False,False,0.9404605628494015,0.0013169673336116405,0.0013169673336116295,0.3329981577622337,0.0008784196376859232,1024,4.7395299128005774e-05,0.0001479365558752777,0.00024080013059205702
184207,16681,0.04410437595175676,0.5347133125588668,0.06349298342261661,0.06349298342261661,0.04630320393857258,0.00043013651431345057,False,False,False,0.9411699728790413,0.0010375255251995341,0.0010375255251996295,0.4145792116591328,0.0006073890108860835,658,4.348942583216539e-05,0.00016061876610726792,0.00031533202585161017
212095,18981,0.035301768366759245,0.4329687603432387,0.0627590599142224,0.0627590599142224,0.04576797794052248,0.0004906006153434506,False,False,False,0.941849676716743,0.0011672904763346814,0.001167290476334585,0.4202900865634984,0.0006766898609912309,748,3.0689359678287564e-05,0.00010745066472982459,0.00023617578272178792
244205,21561,0.023076753785906,0.286284745557317,0.062052148782891024,0.062052148782891024,0.045252451355990965,0.0002410683547360848,False,False,False,0.9426099842720429,0.0009388217510315489,0.0009388217510315917,0.2567775559856876,0.0006977533962954641,649,2.6150199391325457e-05,7.772093679898617e-05,0.00016426829445982444
281177,24530,0.04763710335347258,0.5976903331348424,0.061353370879301754,0.061353370879301754,0.04474285622062427,0.00025248660870413886,False,False,False,0.9432659462003363,0.0009876870581536634,0.000987687058153792,0.2556342179638616,0.0007352004494495246,1127,2.8000895571533846e-05,9.791094658608834e-05,0.0001888757729874846
323746,27902,0.0517631136718526,0.6567556097995916,0.06067226639718501,0.06067226639718501,0.04424614985021169,0.00035424315365584214,False,False,False,0.9439075618683891,0.0008062437380306209,0.0008062437380307447,0.43937476590036856,0.00045200058437477875,1234,3.0536060972141676e-05,9.233636002409229e-05,0.00015616191341273457
372759,31727,0,0.0,0.060007982005589836,0.060007982005589836,0.04376170991390837,0.0,True,True,True,0.944573368249207,0.0008167227675980326,0.0008167227675980639,0.0,0.0008167227675980326,0,0.0,0.0,0.0
429193,36085,0.05702083370925554,0.7395409390378287,0.05935799278796171,0.05935799278796171,0.0432876950571204,0.0002042618653492756,False,False,False,0.9452070526520054,0.0006257317598460377,0.0006257317598459075,0.32643678722578273,0.0004214698944967621,2431,1.5924496909847097e-05,5.359978914809549e-05,0.00011066164834343522
494171,41083,0.03207609264787077,0.42053800356004273,0.05871755610646622,0.05871755610646622,0.04282064662028322,0.00016297692565347965,False,False,False,0.9457488715217411,0.0005703949053782464,0.000570394905378414,0.28572647496808307,0.0004074179797247668,1893,1.1913801365642795e-05,3.68242284651904e-05,7.717279931881642e-05
568987,46737,0.05207140452666346,0.6900300941630654,0.05809500675224234,0.05809500675224234,0.04236664286562516,0.00016136962516222209,False,False,False,0.9463702041466824,0.00046200004421137475,0.00046200004421147536,0.3492848695235018,0.00030063041904915266,2255,1.623532979356905e-05,5.166868992019236e-05,0.00011073371185298835
655129,53210,0.03324639645815842,0.44525527169033213,0.05748252890348435,0.05748252890348435,0.04191998397188057,0.00018804739319644437,False,False,False,0.9469493482702211,0.0005323535403963797,0.0005323535403964803,0.35323779955784285,0.00034430614719993535,2318,9.438767608976883e-06,3.2017346619173104e-05,7.17260516694054e-05
754312,60566,0.07166177949849772,0.9698390896159121,0.056884543948001416,0.056884543948001416,0.04148389429416711,0.00011492103110599672,False,False,False,0.947484868826595,0.00047660040381736213,0.00047660040381735714,0.24112659197417627,0.0003616793727113654,3953,1.3742485292289608e-05,3.992462642203876e-05,7.260542000717243e-05
868511,68982,0.005064453710632605,0.06925405220658397,0.056296529465211895,0.056296529465211895,0.04105507577933543,0.00010336810709532518,False,False,False,0.9480097933343422,0.0004067107830478811,0.00040671078304761765,0.25415629829306957,0.00030334267595255593,411,8.589595330676936e-06,2.5761947631819382e-05,5.7212871369582874e-05
1000000,78498,0.050068748870794044,0.6917253286485169,0.05572490527552192,0.05572490527552192,0.040638210171648585,0.0001171333369304195,False,False,False,0.9486037923324848,0.00029517164649051075,0.0002951716464903449,0.39683126182034945,0.00017803830956009126,3308,1.1077713901408437e-05,3.2935378755405425e-05,6.26486998491537e-05
