seed_n,cohort_role,n,bin_index,max_branch,full_uncovered_measure,exact_complete,k50,k90,k99,k50_censored,k90_censored,k99_censored,a_branch1,a_last,residual_last,cumulative_arc_width_last
13412,complete,13412,4,1000,0,True,169,,,False,True,True,0.9248109055771674,0.29559721548748247,0.3196298980741393,1.1700815294748383
13412,local_mod6_control,13406,4,1000,0.0636914825589473,False,150,,,False,True,True,0.9248854712322266,0.30098580167751987,0.2755410769693581,1.170006963819779
13412,band_mod6_control,13334,4,1000,0.08735859969495857,False,124,,,False,True,True,0.924437285989963,0.34007290078433117,0.30190029351710274,1.169558196356291
13412,band_ordinary_control,13335,4,1000,0.020386813964261702,False,160,,,False,True,True,0.924437285989963,0.3171031952396194,0.3282077610230177,1.169558196356291
23728,complete,23728,5,1000,0,True,234,,,False,True,True,0.9286025868413805,0.3333191413850647,0.3589470308486236,1.0732231207141627
23728,local_mod6_control,23722,5,1000,0.036073451706453596,False,217,,,False,True,True,0.9285182911320323,0.3212856551143004,0.3195852458415507,1.073223120714163
23728,band_mod6_control,23716,5,1000,0.09605013982403166,False,145,,,False,True,True,0.9285604514254681,0.3700407396841719,0.32911376116541485,1.0731809604207272
23728,band_ordinary_control,23714,5,1000,0.0817244526850508,False,151,,,False,True,True,0.9285604514254681,0.3206236035777792,0.2821079302817389,1.0731809604207272
23732,complete,23732,5,1000,0,True,234,,,False,True,True,0.9286025868413804,0.32211234443946823,0.3468785775571934,1.0732231207141627
23732,local_mod6_control,23726,5,1000,0.012057862692118948,False,217,,,False,True,True,0.9286025868413805,0.3311539607386102,0.34815114815338316,1.073223120714163
23732,band_mod6_control,23714,5,1000,0.0817244526850508,False,151,,,False,True,True,0.9285604514254681,0.3206236035777792,0.2821079302817389,1.0731809604207272
23732,band_ordinary_control,23713,5,1000,0.059820547494838186,False,170,,,False,True,True,0.928560451425468,0.3329988886689068,0.31445354350372096,1.0731809604207272
23734,complete,23734,5,1000,0,True,221,,,False,True,True,0.9286868541372432,0.3368482129594322,0.362714526924543,1.0732231207141627
23734,local_mod6_control,23740,5,1000,0.09582421421798337,False,151,,,False,True,True,0.928686854137243,0.36875980704162004,0.32770781127857523,1.0732231207141627
23734,band_mod6_control,23716,5,1000,0.09605013982403166,False,145,,,False,True,True,0.9285604514254681,0.3700407396841719,0.32911376116541485,1.0731809604207272
23734,band_ordinary_control,23714,5,1000,0.0817244526850508,False,151,,,False,True,True,0.9285604514254681,0.3206236035777792,0.2821079302817389,1.0731809604207272
42122,complete,42122,6,1000,0,True,282,,,False,True,True,0.9327859182695514,0.3547600302657479,0.3803230980629269,1.010247033614054
42122,local_mod6_control,42116,6,1000,0.060525904353779525,False,211,,,False,True,True,0.9326909515077039,0.35798613054039297,0.34105955880402994,1.0102470336140543
42122,band_mod6_control,42170,6,1000,0.02917871489648899,False,258,,,False,True,True,0.9327384844399049,0.33086718264697235,0.3338887784954521,1.0103419350470615
42122,band_ordinary_control,42169,6,1000,0.05441330685157236,False,220,,,False,True,True,0.9327384844399049,0.34927556744083954,0.3357096757705242,1.0103419350470615
42208,complete,42208,6,1000,0,True,303,,,False,True,True,0.9327147748414826,0.3638939514840876,0.3901449417330527,1.0104604538496458
42208,local_mod6_control,42202,6,1000,0.06123633145672769,False,212,,,False,True,True,0.9327147748414826,0.35014372328304527,0.33151409999795706,1.0104604538496458
42208,band_mod6_control,42172,6,1000,0.01812113027412543,False,258,,,False,True,True,0.9327384844399049,0.3555464630362846,0.368925137080877,1.0103419350470615
42208,band_ordinary_control,42169,6,1000,0.05441330685157236,False,220,,,False,True,True,0.9327384844399049,0.34927556744083954,0.3357096757705242,1.0103419350470615
42212,complete,42212,6,1000,0,True,303,,,False,True,True,0.9326910832117353,0.3709847342559478,0.3977573506744124,1.010484145479393
42212,local_mod6_control,42206,6,1000,0.014308711661254414,False,283,,,False,True,True,0.9327147748414826,0.3589072793569325,0.37521373334841973,1.0104604538496458
42212,band_mod6_control,42170,6,1000,0.02917871489648899,False,258,,,False,True,True,0.9327384844399049,0.33086718264697235,0.3338887784954521,1.0103419350470615
