source,c0_n,c0_mod210,trivial_small_prime_stratum,direction,neighbor_n,neighbor_uncovered_measure,neighbor_component_count,neighbor_max_uncovered_gap
data/summaries/prc_broad_candidate_windows_r250.csv,58551,171,False,prev,58550,0.04240756052203537,240,0.0009926892101702056
data/summaries/prc_broad_candidate_windows_r250.csv,58551,171,False,next,58552,0.01394346812895464,69,0.0007152420767686518
data/summaries/prc_broad_candidate_windows_r250.csv,58588,208,True,prev,58587,0.04742533591434722,289,0.0012728811640343451
data/summaries/prc_broad_candidate_windows_r250.csv,58588,208,True,next,58589,0.09021036147673282,698,0.0010421672363478685
data/summaries/prc_broad_candidate_windows_r250.csv,58592,2,True,prev,58591,0.0860874968102402,400,0.0013862645537863205
data/summaries/prc_broad_candidate_windows_r250.csv,58592,2,True,next,58593,0.05123692430363386,318,0.0011203874388941992
data/summaries/prc_broad_candidate_windows_r250.csv,58599,9,False,prev,58598,0.08476290749684068,521,0.001000135782705247
data/summaries/prc_broad_candidate_windows_r250.csv,58599,9,False,next,58600,0.05189034870934539,290,0.0009097699339413179
data/summaries/prc_broad_candidate_windows_r250.csv,58622,32,False,prev,58621,0.08287496178775905,453,0.001263157905564749
data/summaries/prc_broad_candidate_windows_r250.csv,58622,32,False,next,58623,0.04601800464359601,346,0.0008070644692585449
data/summaries/prc_broad_candidate_windows_r250.csv,58766,176,False,prev,58765,0.05082397380731489,334,0.0012397157914929569
data/summaries/prc_broad_candidate_windows_r250.csv,58766,176,False,next,58767,0.05423077140419025,313,0.0008856390234397438
data/summaries/prc_broad_candidate_windows_r250.csv,58772,182,False,prev,58771,0.06388520459430974,445,0.0010016178455407587
data/summaries/prc_broad_candidate_windows_r250.csv,58772,182,False,next,58773,0.019480880381363086,107,0.0007016266894624978
data/summaries/prc_broad_candidate_windows_r250.csv,58798,208,True,prev,58797,0.03497455687431225,196,0.0010163169432028107
data/summaries/prc_broad_candidate_windows_r250.csv,58798,208,True,next,58799,0.07894105205004179,584,0.0009977928749957954
data/summaries/prc_broad_candidate_windows_r250.csv,423740,170,False,prev,423739,0.03039094780040541,745,0.0002165763533900078
data/summaries/prc_broad_candidate_windows_r250.csv,423740,170,False,next,423741,0.019614794804683866,520,0.0002098967990726841
data/summaries/prc_broad_candidate_windows_r250.csv,423771,201,False,prev,423770,0.06717753788851111,2666,0.00015033579482293113
data/summaries/prc_broad_candidate_windows_r250.csv,423771,201,False,next,423772,0.06434565202730735,2055,0.00018665549888563504
data/summaries/prc_broad_candidate_windows_r250.csv,423778,208,True,prev,423777,0.017104688180018424,476,0.00020745689653345334
data/summaries/prc_broad_candidate_windows_r250.csv,423778,208,True,next,423779,0.08779842088070558,3843,0.0002927916095787353
data/summaries/prc_broad_candidate_windows_r250.csv,423782,2,True,prev,423781,0.10828068966490581,3957,0.0002633966376723862
data/summaries/prc_broad_candidate_windows_r250.csv,423782,2,True,next,423783,0.0222727491048397,763,0.00022060672718204888
data/summaries/prc_broad_candidate_windows_r250.csv,423838,58,False,prev,423837,0.02302861886778379,744,0.00022920676718407584
