start,stop,length
743650,743650,1
743702,743702,1
743818,743818,1
743822,743822,1
743889,743889,1
743938,743938,1
743961,743961,1
743990,743990,1
744009,744009,1
744028,744028,1
744032,744032,1
744208,744208,1
744238,744238,1
744242,744242,1
744268,744268,1
744325,744325,1
744332,744332,1
744351,744351,1
744362,744362,1
744448,744448,1
744452,744452,1
744454,744454,1
744598,744598,1
744658,744658,1
744662,744662,1
744669,744669,1
744688,744688,1
744692,744692,1
744868,744868,1
744872,744872,1
744928,744928,1
744962,744962,1
744999,744999,1
745022,745022,1
745029,745029,1
745036,745036,1
745078,745078,1
745082,745082,1
745089,745089,1
745191,745191,1
745258,745258,1
745281,745281,1
745288,745288,1
745292,745292,1
745352,745352,1
745408,745408,1
745498,745498,1
745502,745502,1
745588,745588,1
745622,745622,1
745682,745682,1
745708,745708,1
745712,745712,1
745768,745768,1
745918,745918,1
745922,745922,1
745929,745929,1
745982,745982,1
746012,746012,1
746038,746038,1
746068,746068,1
746128,746128,1
746132,746132,1
746192,746192,1
746229,746229,1
746248,746248,1
746338,746338,1
746342,746342,1
746548,746548,1
746552,746552,1
746578,746578,1
746638,746638,1
746672,746672,1
746691,746691,1
746758,746758,1
746762,746762,1
746859,746859,1
746884,746884,1
746908,746908,1
746968,746968,1
746972,746972,1
746979,746979,1
747002,747002,1
747069,747069,1
747081,747081,1
747178,747178,1
747182,747182,1
747238,747238,1
747332,747332,1
747388,747388,1
747392,747392,1
747568,747568,1
747591,747591,1
747598,747598,1
747602,747602,1
747662,747662,1
747806,747806,1
747808,747808,1
747812,747812,1
747814,747814,1
747861,747861,1
747898,747898,1
747992,747992,1
748018,748018,1
748022,748022,1
748228,748228,1
748232,748232,1
748251,748251,1
748276,748276,1
748318,748318,1
748322,748322,1
748438,748438,1
748442,748442,1
748558,748558,1
748610,748610,1
748648,748648,1
748652,748652,1
748761,748761,1
748828,748828,1
748856,748856,1
748858,748858,1
748862,748862,1
748888,748888,1
748918,748918,1
748959,748959,1
748982,748982,1
749042,749042,1
749068,749068,1
749072,749072,1
749218,749218,1
749241,749241,1
749278,749278,1
749282,749282,1
749289,749289,1
749312,749312,1
749402,749402,1
749456,749456,1
749488,749488,1
749492,749492,1
749499,749499,1
749548,749548,1
749619,749619,1
749642,749642,1
749698,749698,1
749702,749702,1
749758,749758,1
749811,749811,1
749878,749878,1
749901,749901,1
749908,749908,1
749912,749912,1
749959,749959,1
749972,749972,1
750021,750021,1
750118,750118,1
750122,750122,1
750148,750148,1
750182,750182,1
750208,750208,1
750302,750302,1
