nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,cohort_role,seed_mod210,selected_rank,priority_label,direction_label,mod210_signed_delta,row_count,share_within_anchor_role,share_within_class_role,circular_residue_distance_median,circular_residue_distance_max,distance_minus_complete_median,sample_seed_n
5,11,62,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,25,10,0.12987012987012986,0.09174311926605505,25.0,25,-1.0,1558 107818 271828 373468 378088 537478 588298 622948 639118 858568
5,11,62,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,55,6,0.07792207792207792,0.06060606060606061,55.0,55,-1.0,209488 357328 657628 745408 828568 879388
5,11,88,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,23,23,0.38333333333333336,0.1503267973856209,23,23,0,22581 89571 135771 191211 202761 235101 269751 403731 431451 470721
5,11,88,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-26,14,0.23333333333333334,0.125,26.0,26,0.0,27152 89522 135722 260462 486842 514562 530732 770972 780212 798692
5,11,88,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,30,13,0.21666666666666667,0.13131313131313133,30,30,0,179668 318268 322888 325198 339058 385258 473038 604708 676318 690178
5,11,88,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,11,10,0.16666666666666666,0.0625,11.0,11,0.0,151929 223539 290529 355209 424509 590829 623169 634719 766389 826449
5,11,88,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-26,15,0.28846153846153844,0.13274336283185842,26,26,-34,119762 149792 163652 186752 251432 306872 385412 466262 477812 616412
5,11,88,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,23,14,0.2692307692307692,0.09271523178807947,23.0,23,-26.0,82851 119391 184491 251481 320781 323091 329601 389661 505581 549051
5,11,88,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,11,13,0.25,0.09420289855072464,11,11,-86,170619 207579 339249 440889 463989 512499 558699 720399 778149 808179
5,11,88,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,30,10,0.19230769230769232,0.09615384615384616,30.0,30,11.0,64378 172948 193738 401218 440908 533308 588748 713488 808198 852088
5,11,88,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,22,23,0.38333333333333336,0.1513157894736842,22,22,-1,22581 89571 135771 191211 202761 235101 269751 403731 431451 470721
5,11,88,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-27,14,0.23333333333333334,0.125,27.0,27,1.0,27152 89522 135722 260462 486842 514562 530732 770972 780212 798692
5,11,88,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,29,13,0.21666666666666667,0.13131313131313133,29,29,-1,179668 318268 322888 325198 339058 385258 473038 604708 676318 690178
5,11,88,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,10,10,0.16666666666666666,0.0625,10.0,10,-1.0,151929 223539 290529 355209 424509 590829 623169 634719 766389 826449
5,11,92,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,7,16,0.27586206896551724,0.1,7.0,7,0.0,59949 175449 186999 320979 334839 387969 401829 454959 471129 473439
5,11,92,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-4,15,0.25862068965517243,0.1388888888888889,4,4,0,4498 92278 96898 193918 237808 383338 427228 531178 547348 669778
5,11,92,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,19,10,0.1724137931034483,0.06535947712418301,19.0,19,0.0,32241 87681 173151 281721 434181 438801 494241 510411 568161 702141
5,11,92,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-30,9,0.15517241379310345,0.08035714285714286,30,30,0,59912 76082 258572 438752 471092 762152 806042 863792 940022
5,11,92,complete_uncertified,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,26,8,0.13793103448275862,0.08080808080808081,26.0,26,0.0,46108 115408 168538 221668 526588 556618 746038 967798
5,11,92,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-4,25,0.373134328358209,0.23148148148148148,4,4,-26,112858 127138 164098 170608 210298 233398 260698 263428 339658 350788
5,11,92,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-30,16,0.23880597014925373,0.1415929203539823,30.0,30,-26.0,104012 108632 138662 184862 191792 263402 316532 321152 499022 529052
5,11,92,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,19,13,0.19402985074626866,0.08609271523178808,19,19,12,71721 143331 196461 203391 235311 366981 452871 642291 676941 683871
5,11,92,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,7,11,0.16417910447761194,0.07971014492753623,7,7,-12,147939 223749 323499 487089 540219 570669 614559 658449 834009 921789
5,11,92,local_mod210_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,26,2,0.029850746268656716,0.019230769230769232,26.0,26,-28.5,323098 780478
5,11,92,local_any_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,6,16,0.27586206896551724,0.1,6.0,6,-1.0,59949 175449 186999 320979 334839 387969 401829 454959 471129 473439
5,11,92,local_any_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-5,15,0.25862068965517243,0.13761467889908258,5,5,1,4498 92278 96898 193918 237808 383338 427228 531178 547348 669778
5,11,92,local_any_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,18,10,0.1724137931034483,0.06578947368421052,18.0,18,-1.0,32241 87681 173151 281721 434181 438801 494241 510411 568161 702141
5,11,92,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-31,9,0.15517241379310345,0.08035714285714286,31,31,1,59912 76082 258572 438752 471092 762152 806042 863792 940022
5,11,92,local_any_control,118,5,large_class_mixed_direction,mod210_tied__any_complete_larger,25,8,0.13793103448275862,0.08080808080808081,25.0,25,-1.0,46108 115408 168538 221668 526588 556618 746038 967798
5,11,118,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-56,12,0.2926829268292683,0.10714285714285714,56.0,56,0.0,48572 104012 108632 138662 184862 263402 316532 499022 614522 635312
5,11,118,complete_uncertified,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-7,12,0.2926829268292683,0.0784313725490196,7.0,7,0.0,71721 99441 143331 196461 203391 452871 642291 676941 683871 760101
5,11,118,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,-19,9,0.21951219512195122,0.05625,19,19,0,147939 219549 323499 339669 499059 570669 614559 658449 834009
5,11,118,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-30,8,0.1951219512195122,0.07407407407407407,30.0,30,0.0,127138 263428 339658 450538 773938 817828 822448 924088
5,11,118,local_mod210_control,111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,-7,13,0.30952380952380953,0.08609271523178808,7,7,-46,55761 62691 131991 346821 413811 438801 520071 626331 732591 785721
5,11,118,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,-30,12,0.2857142857142857,0.1111111111111111,30.0,30,-56.0,44188 76528 131968 134278 323698 330628 448438 503878 520048 587038
