seed_n,cohort_role,n,bin_index,max_branch,branch,cumulative_uncovered_measure,full_uncovered_measure,fill_fraction,residual_fraction,cumulative_max_gap,cumulative_component_count,exact_complete
133352,band_ordinary_control,133351,8,1000,2,0.9046260239118359,0.04384147079288345,0.038907989438493405,0.9610920105615066,0.0012199133075773139,7492,False
133352,band_ordinary_control,133351,8,1000,3,0.879978568676746,0.04384147079288345,0.06642761931717199,0.933572380682828,0.0009773545670890282,8234,False
133352,band_ordinary_control,133351,8,1000,4,0.8610720615729556,0.04384147079288345,0.08753730682171328,0.9124626931782868,0.0009773545670890282,8614,False
133352,band_ordinary_control,133351,8,1000,5,0.8458854109952734,0.04384147079288345,0.10449366191023524,0.8955063380897648,0.0009773545670890282,8835,False
133352,band_ordinary_control,133351,8,1000,6,0.8326405787177905,0.04384147079288345,0.119281918085363,0.880718081914637,0.0009773545670890282,8964,False
133352,band_ordinary_control,133351,8,1000,7,0.8215690568661647,0.04384147079288345,0.1316436073812492,0.8683563926187507,0.0009773545670890282,9050,False
133352,band_ordinary_control,133351,8,1000,8,0.811622113644971,0.04384147079288345,0.14274967059388333,0.8572503294061167,0.0009773545670890282,9081,False
133352,band_ordinary_control,133351,8,1000,9,0.802723119291843,0.04384147079288345,0.1526856671726247,0.8473143328273753,0.0009773545670890282,9114,False
133352,band_ordinary_control,133351,8,1000,10,0.7944043393215581,0.04384147079288345,0.16197383682912073,0.8380261631708793,0.0009773545670890282,9124,False
133352,band_ordinary_control,133351,8,1000,11,0.7870202659765995,0.04384147079288345,0.1702183782437239,0.8297816217562761,0.0009773545670890282,9134,False
133352,band_ordinary_control,133351,8,1000,12,0.7804816445738287,0.04384147079288345,0.17751894697200707,0.8224810530279929,0.0009773545670890282,9131,False
133352,band_ordinary_control,133351,8,1000,13,0.7742021698568335,0.04384147079288345,0.18453017058093382,0.8154698294190662,0.0009773545670890282,9125,False
133352,band_ordinary_control,133351,8,1000,14,0.768168134473304,0.04384147079288345,0.1912673537442965,0.8087326462557035,0.0009773545670890282,9113,False
133352,band_ordinary_control,133351,8,1000,15,0.7625323764908868,0.04384147079288345,0.19755984813297184,0.8024401518670281,0.0009773545670890282,9094,False
133352,band_ordinary_control,133351,8,1000,16,0.7572919976468115,0.04384147079288345,0.2034108897450769,0.7965891102549231,0.0008386808433719084,9083,False
133352,band_ordinary_control,133351,8,1000,17,0.7521391677188882,0.04384147079288345,0.20916418034208528,0.7908358196579147,0.0008386808433719084,9075,False
133352,band_ordinary_control,133351,8,1000,18,0.7481739159160282,0.04384147079288345,0.21359150401301402,0.7864084959869859,0.0008386808433719084,9059,False
133352,band_ordinary_control,133351,8,1000,19,0.7436542334497529,0.04384147079288345,0.21863786630294219,0.7813621336970578,0.0008386808433719084,9033,False
133352,band_ordinary_control,133351,8,1000,20,0.7400496263561425,0.04384147079288345,0.2226625192388361,0.7773374807611639,0.0008386808433719084,9018,False
133352,band_ordinary_control,133351,8,1000,30,0.7071796316949109,0.04384147079288345,0.25936286329315533,0.7406371367068446,0.0008386808433719084,8804,False
133352,band_ordinary_control,133351,8,1000,50,0.6649294589528687,0.04384147079288345,0.3065364601241953,0.6934635398758047,0.0008386808433719084,8411,False
133352,band_ordinary_control,133351,8,1000,100,0.6090139977449486,0.04384147079288345,0.3689677651924305,0.6310322348075694,0.0008386808433719084,7807,False
133352,band_ordinary_control,133351,8,1000,200,0.5553973597092177,0.04384147079288345,0.42883236460071955,0.5711676353992804,0.0008009424008682542,7161,False
133352,band_ordinary_control,133351,8,1000,500,0.4746262723548948,0.04384147079288345,0.519015728671703,0.4809842713282971,0.0008009424008682542,6138,False
133352,band_ordinary_control,133351,8,1000,1000,0.4296550021105557,0.04384147079288345,0.5692275132350163,0.4307724867649838,0.0008009424008682542,5553,False
237088,complete,237088,9,1000,1,0.9424028192349675,0,0.0,1.0,0.0009112268762498932,9813,True
237088,complete,237088,9,1000,2,0.9091559340607793,0,0.03527884732048832,0.9647211526795116,0.0009112268762498932,12693,True
237088,complete,237088,9,1000,3,0.8859023656204125,0,0.059953612681699624,0.9400463873183004,0.0006407135618301529,13971,True
237088,complete,237088,9,1000,4,0.8674228116314645,0,0.07956258838908287,0.9204374116109171,0.0006407135618301529,14675,True
237088,complete,237088,9,1000,5,0.8528240361364937,0,0.09505360263161444,0.9049463973683856,0.0006407135618301529,15066,True
