n,p_prefix,prime_index,prefix_width_sum,poisson_prefix_baseline,product_prefix_baseline,uncovered_measure,uncovered_over_product_baseline,baseline_delta,log_uncovered_minus_log_product_baseline,component_count,max_gap,gap_p50,gap_p90,gap_p99,top_gap_share,numeric_complete_prefix
39069,23,9,1.498956013251342,0.2233632267168868,0.16358819535559344,0.008403361344537785,0.051368995949073876,-0.15518483401105565,-2.96872048016655,1,0.008403361344537785,0.008403361344537785,0.008403361344537785,0.008403361344537785,1.0,False
39069,29,10,1.5334387718720317,0.21579232937126394,0.15794722310195228,0,,-0.15794722310195228,,0,0.0,0.0,0.0,0.0,0.0,True
39069,31,11,1.5656968363881607,0.20894236379016431,0.15285215138898609,0,,-0.15285215138898609,,0,0.0,0.0,0.0,0.0,0.0,True
39069,47,15,1.661646517015796,0.1898261706291461,0.1387040926358504,0,,-0.1387040926358504,,0,0.0,0.0,0.0,0.0,0.0,True
39069,97,25,1.8028172010488706,0.16483386336213293,0.12031729047493521,0,,-0.12031729047493521,,0,0.0,0.0,0.0,0.0,0.0,True
39069,199,46,1.9490340749285706,0.14241156407230274,0.1038946390008959,0,,-0.1038946390008959,,0,0.0,0.0,0.0,0.0,0.0,True
39069,499,95,2.096709552838668,0.12286002830789179,0.08960973680803674,0,,-0.08960973680803674,,0,0.0,0.0,0.0,0.0,0.0,True
39069,997,168,2.198080127175088,0.11101609067106057,0.08096526350684251,0,,-0.08096526350684251,,0,0.0,0.0,0.0,0.0,0.0,True
39069,1999,303,2.292448491968832,0.10101881503966252,0.0736716087048108,0,,-0.0736716087048108,,0,0.0,0.0,0.0,0.0,0.0,True
39069,4999,669,2.405188657690577,0.09024846793609506,0.0658157198243846,0,,-0.0658157198243846,,0,0.0,0.0,0.0,0.0,0.0,True
39069,9973,1229,2.4830599472335644,0.08348736739664342,0.060884692455838364,0,,-0.060884692455838364,,0,0.0,0.0,0.0,0.0,0.0,True
39069,19997,2262,2.5549342311717784,0.07769734196240143,0.056662062904730096,0,,-0.056662062904730096,,0,0.0,0.0,0.0,0.0,0.0,True
100000,2,1,0.5,0.6065306597126334,0.5,0.5,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,False
100000,3,2,0.8333333333333333,0.43459820850707825,0.33333333333333337,0.25,0.7499999999999999,-0.08333333333333337,-0.287682072451781,1,0.25,0.25,0.25,0.25,1.0,False
100000,5,3,1.0333333333333332,0.355818918537342,0.2666666666666667,0.25,0.9374999999999998,-0.01666666666666672,-0.0645385211375713,1,0.25,0.25,0.25,0.25,1.0,False
100000,7,4,1.176190476190476,0.308451556793032,0.22857142857142862,0.1428571428571429,0.6250000000000001,-0.08571428571428572,-0.47000362924573547,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
100000,11,5,1.2670995670995668,0.2816473374460965,0.20779220779220783,0.1428571428571429,0.6875000000000001,-0.06493506493506493,-0.3746934494414107,1,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,False
