seed_mod210,selected_rank,priority_label,direction_label,cohort_role,nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,row_count,share_within_class_role,mod210_signed_delta_median,mod210_signed_delta_min,mod210_signed_delta_max,circular_residue_distance_median,circular_residue_distance_p90,circular_residue_distance_max,distance_minus_complete_median
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,6,13,129,2,0.01015228426395939,-30.0,-30,-30,30.0,30,30,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,58,1,0.005076142131979695,41,41,41,41,41,41,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,69,1,0.005076142131979695,30,30,30,30,30,30,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,88,1,0.005076142131979695,11,11,11,11,11,11,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,92,1,0.005076142131979695,7,7,7,7,7,7,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,111,7,0.03553299492385787,-12,-12,-12,12,12,12,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,118,3,0.015228426395939087,-19,-19,-19,19,19,19,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,7,17,122,1,0.005076142131979695,-23,-23,-23,23,23,23,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,8,19,4,1,0.005076142131979695,95,95,95,95,95,95,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,8,19,62,1,0.005076142131979695,37,37,37,37,37,37,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,8,19,92,2,0.01015228426395939,7.0,7,7,7.0,7,7,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,8,19,122,1,0.005076142131979695,-23,-23,-23,23,23,23,0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,4,7,2,31,0.16062176165803108,97,97,97,97,97,97,78
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,32,15,0.07772020725388601,67,67,67,67,67,67,26
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,58,7,0.03626943005181347,41,41,41,41,41,41,-38
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,62,3,0.015544041450777202,37,37,37,37,37,37,26
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,88,13,0.06735751295336788,11,11,11,11,11,11,-86
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,92,11,0.05699481865284974,7,7,7,7,7,7,-12
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,118,7,0.03626943005181347,-19,-19,-19,19,19,19,-78
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,122,39,0.20207253886010362,-23,-23,-23,23,23,23,-26
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,148,6,0.031088082901554404,-49.0,-49,-49,49.0,49,49,4.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,5,11,178,6,0.031088082901554404,-79.0,-79,-79,79.0,79,79,42.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,81,1,0.0051813471502590676,18,18,18,18,18,18,-61
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,82,2,0.010362694300518135,17.0,17,17,17.0,17,17,-6.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,local_mod210_control,6,13,86,1,0.0051813471502590676,13,13,13,13,13,13,2
