source,n,next_n,a_n,a_next,abs_delta_a,component_count_n,component_count_next,abs_delta_component_count,max_gap_n,max_gap_next,abs_delta_max_gap,c0_n,c0_next
data/summaries/prc_v0_covering_candidate_windows.csv,372640,372641,0.03167928566597633,0.05564487033540357,0.02396558466942724,954,1630,676,0.00021794018204202015,0.00026128775425704465,4.33475722150245e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372641,372642,0.05564487033540357,0.024419308651162597,0.031225561684240975,1630,885,745,0.00026128775425704465,0.00018840214693904844,7.28856073179962e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372642,372643,0.024419308651162597,0.06600571005331045,0.04158640140214785,885,2473,1588,0.00018840214693904844,0.00024451965433969214,5.6117507400643696e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372643,372644,0.06600571005331045,0.08483311625664808,0.01882740620333763,2473,2949,476,0.00024451965433969214,0.00026746920290598997,2.2949548566297828e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372644,372645,0.08483311625664808,0.031844603208389693,0.052988513048258384,2949,1230,1719,0.00026746920290598997,0.00034820556554560067,8.07363626396107e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372645,372646,0.031844603208389693,0.054829938333823436,0.022985335125433742,1230,1568,338,0.00034820556554560067,0.00024787916167323676,0.00010032640387236391,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372646,372647,0.054829938333823436,0.029902749634452483,0.024927188699370953,1568,1052,516,0.00024787916167323676,0.00026809099830416017,2.0211836630923408e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372647,372648,0.029902749634452483,0.050967425408927736,0.021064675774475253,1052,1700,648,0.00026809099830416017,0.00021832858276871203,4.9762415535448135e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372648,372649,0.050967425408927736,0.02352283101139901,0.027444594397528724,1700,954,746,0.00021832858276871203,0.00017062651454491373,4.77020682237983e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372649,372650,0.02352283101139901,0.05138566464766736,0.02786283363626835,954,1656,702,0.00017062651454491373,0.00023334485005305217,6.271833550813843e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372650,372651,0.05138566464766736,0.005164367101622269,0.04622129754604509,1656,118,1538,0.00023334485005305217,0.00023414074657568396,7.958965226317893e-07,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372651,372652,0.005164367101622269,0.031831823158979144,0.026667456057356875,118,874,756,0.00023414074657568396,0.0002206365272967581,1.3504219278925866e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372652,372653,0.031831823158979144,0.07430211379248458,0.042470290633505436,874,2396,1522,0.0002206365272967581,0.00038209560643753804,0.00016145907914077995,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372653,372654,0.07430211379248458,0.08416043781917104,0.00985832402668646,2396,2634,238,0.00038209560643753804,0.00024055804561018412,0.00014153756082735391,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372654,372655,0.08416043781917104,0.005035690680925797,0.07912474713824524,2634,115,2519,0.00024055804561018412,0.00019641274517612217,4.414530043406195e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372655,372656,0.005035690680925797,0.042967433595868965,0.03793174291494317,115,1513,1398,0.00019641274517612217,0.0002015217611341935,5.109015958071339e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372656,372657,0.042967433595868965,0.009393936001263037,0.03357349759460593,1513,272,1241,0.0002015217611341935,0.0001842560052460751,1.7265755888118406e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372657,372658,0.009393936001263037,0.01623594852301513,0.006842012521752094,272,438,166,0.0001842560052460751,0.0002268297979045597,4.25737926584846e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372658,372659,0.01623594852301513,0.021898435412381873,0.005662486889366741,438,858,420,0.0002268297979045597,0.00019210864100072111,3.472115690383859e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372659,372660,0.021898435412381873,0.11230287459185778,0.09040443917947591,858,3504,2646,0.00019210864100072111,0.00022939255949749882,3.72839184967777e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372660,372661,0.11230287459185778,0.08106141241071216,0.031241462181145624,3504,2641,863,0.00022939255949749882,0.00024600498319204966,1.661242369455085e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372661,372662,0.08106141241071216,0.005947433685705272,0.07511397872500689,2641,234,2407,0.00024600498319204966,0.00014266128720269444,0.00010334369598935522,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372662,372663,0.005947433685705272,0.04101024434558828,0.03506281065988301,234,1364,1130,0.00014266128720269444,0.00019276500009302033,5.010371289032589e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372663,372664,0.04101024434558828,0.01112245767591502,0.02988778666967326,1364,338,1026,0.00019276500009302033,0.00020212660035656693,9.361600263546599e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372664,372665,0.01112245767591502,0.040955166048192215,0.029832708372277195,338,1714,1376,0.00020212660035656693,0.0001603364233698501,4.179017698671683e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372665,372666,0.040955166048192215,0.05957850095410794,0.018623334905915723,1714,1982,268,0.0001603364233698501,0.000244221386325183,8.388496295533288e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372666,372667,0.05957850095410794,0.0401073461029029,0.01947115485120504,1982,1061,921,0.000244221386325183,0.00030263675182951033,5.8415365504327355e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372667,372668,0.0401073461029029,0.034675641714223104,0.005431704388679792,1061,1137,76,0.00030263675182951033,0.00023335630929510742,6.928044253440291e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372668,372669,0.034675641714223104,0.016690148165585422,0.017985493548637682,1137,682,455,0.00023335630929510742,0.00012730137188787793,0.00010605493740722949,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372669,372670,0.016690148165585422,0.01677210836441978,8.196019883435768e-05,682,478,204,0.00012730137188787793,0.0002965849396471265,0.00016928356775924858,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372670,372671,0.01677210836441978,0.03843593462436905,0.021663826259949268,478,1141,663,0.0002965849396471265,0.00025913785234044084,3.744708730668567e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372671,372672,0.03843593462436905,0.06811802397538158,0.029682089351012533,1141,1934,793,0.00025913785234044084,0.00023460818995724164,2.4529662383199202e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372672,372673,0.06811802397538158,0.048955813160855344,0.019162210814526237,1934,1399,535,0.00023460818995724164,0.00025913927004883597,2.4531080091594326e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372673,372674,0.048955813160855344,0.031478503041445616,0.017477310119409728,1399,1152,247,0.00025913927004883597,0.00015709901602317666,0.0001020402540256593,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372674,372675,0.031478503041445616,0.03298009335490787,0.0015015903134622532,1152,967,185,0.00015709901602317666,0.0002557069509399046,9.860793491672792e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372675,372676,0.03298009335490787,0.04411267647460837,0.011132583119700501,967,1193,226,0.0002557069509399046,0.00029559009538671077,3.9883144446806185e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372676,372677,0.04411267647460837,0.07291076099418778,0.02879808451957941,1193,2896,1703,0.00029559009538671077,0.00027764128126706034,1.7948814119650436e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372677,372678,0.07291076099418778,0.05278355897151915,0.020127202022668628,2896,1793,1103,0.00027764128126706034,0.00019911117623316876,7.853010503389157e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372678,372679,0.05278355897151915,0.04314371830445135,0.0096398406670678,1793,1905,112,0.00019911117623316876,0.0002140001126140767,1.4888936380907936e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372679,372680,0.04314371830445135,0.03672545221898993,0.0064182660854614215,1905,1306,599,0.0002140001126140767,0.00020205337513540256,1.1946737478674141e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372680,372681,0.03672545221898993,0.00948572502517675,0.02723972719381318,1306,227,1079,0.00020205337513540256,0.00018357650850930884,1.8476866626093713e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372681,372682,0.00948572502517675,0.06639374059273218,0.056908015567555426,227,1850,1623,0.00018357650850930884,0.0002522671422644507,6.869063375514184e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372682,372683,0.06639374059273218,0.06605129934549953,0.0003424412472326499,1850,2268,418,0.0002522671422644507,0.00021867616157306147,3.3590980691389216e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372683,372684,0.06605129934549953,0.050810683337605855,0.01524061600789367,2268,1663,605,0.00021867616157306147,0.0002438994361276814,2.5223274554619923e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372684,372685,0.050810683337605855,0.04770794134071704,0.0031027419968888137,1663,1428,235,0.0002438994361276814,0.00022507123282211605,1.882820330556534e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372685,372686,0.04770794134071704,0.059190419503206915,0.011482478162489873,1428,2027,599,0.00022507123282211605,0.00018770687052699353,3.736436229512252e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372686,372687,0.059190419503206915,0.01118451273607951,0.048005906767127404,2027,419,1608,0.00018770687052699353,0.00014145777587504238,4.624909465195115e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372687,372688,0.01118451273607951,0.0,0.01118451273607951,419,0,419,0.00014145777587504238,0.0,0.00014145777587504238,False,True
data/summaries/prc_v0_covering_candidate_windows.csv,372688,372689,0.0,0.06466245020445274,0.06466245020445274,0,2654,2654,0.0,0.00025866567322552214,0.00025866567322552214,True,False
data/summaries/prc_v0_covering_candidate_windows.csv,372689,372690,0.06466245020445274,0.08512407972207042,0.02046162951761768,2654,2619,35,0.00025866567322552214,0.0004360672388805664,0.00017740156565504428,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372690,372691,0.08512407972207042,0.06474488484906185,0.02037919487300857,2619,1868,751,0.0004360672388805664,0.0002566383715809639,0.0001794288672996025,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372691,372692,0.06474488484906185,0.011159520796160949,0.0535853640529009,1868,404,1464,0.0002566383715809639,0.0001796892174920628,7.694915408890113e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372692,372693,0.011159520796160949,0.01741021792455749,0.006250697128396543,404,533,129,0.0001796892174920628,0.00021169042219870704,3.200120470664425e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372693,372694,0.01741021792455749,0.0446946833209112,0.027284465396353708,533,1281,748,0.00021169042219870704,0.00020406407831230489,7.626343886402154e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372694,372695,0.0446946833209112,0.006313510781929876,0.03838117253898132,1281,150,1131,0.00020406407831230489,0.00025291962978368776,4.8855551471382874e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372695,372696,0.006313510781929876,0.07303781841841667,0.06672430763648679,150,2126,1976,0.00025291962978368776,0.0003119833785574233,5.906374877373555e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372696,372697,0.07303781841841667,0.10259809673910142,0.029560278320684752,2126,3234,1108,0.0003119833785574233,0.00030266153678482066,9.321841772602646e-06,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372697,372698,0.10259809673910142,0.0444612743969337,0.058136822342167715,3234,1504,1730,0.00030266153678482066,0.00019024904193271075,0.00011241249485210991,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372698,372699,0.0444612743969337,0.011617325941291973,0.03284394845564173,1504,448,1056,0.00019024904193271075,0.00017755717313758246,1.2691868795128292e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372699,372700,0.011617325941291973,0.041208778402271884,0.02959145246097991,448,1174,726,0.00017755717313758246,0.00037270014457779777,0.0001951429714402153,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372700,372701,0.041208778402271884,0.003889373377041941,0.03731940502522994,1174,213,961,0.00037270014457779777,9.090926380531106e-05,0.0002817908807724867,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372701,372702,0.003889373377041941,0.07748572506260976,0.07359635168556782,213,2322,2109,9.090926380531106e-05,0.0002456875363608946,0.00015477827255558352,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372702,372703,0.07748572506260976,0.06345559046586527,0.014030134596744487,2322,2068,254,0.0002456875363608946,0.0002748340996701071,2.9146563309212503e-05,False,False
data/summaries/prc_v0_covering_candidate_windows.csv,372703,372704,0.06345559046586527,0.01581742656587598,0.04763816389998929,2068,580,1488,0.0002748340996701071,0.00013150457964983264,0.00014332952002027444,False,False
