seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
11151,local_any_control,11150,-1,8,19,9699690,11150,20,1910,11132,4,7,18,1.8557294099089764e-06
11361,complete_uncertified,11361,0,8,19,9699690,11361,21,2121,11378,7,17,17,1.7526333315807e-06
11361,local_mod210_control,11571,210,8,19,9699690,11571,21,21,11552,4,7,19,1.958825488237253e-06
11361,local_any_control,11360,-1,8,19,9699690,11360,20,2120,11342,4,7,18,1.8557294099089764e-06
11492,complete_uncertified,11492,0,8,19,9699690,11492,152,2252,11548,4,7,56,5.773380386383483e-06
11492,local_mod210_control,11282,-210,8,19,9699690,11282,152,2042,11338,4,7,56,5.773380386383483e-06
11492,local_any_control,11491,-1,8,19,9699690,11491,151,2251,11548,4,7,57,5.876476464711759e-06
11576,complete_uncertified,11576,0,8,19,9699690,11576,26,26,11552,4,7,24,2.4743058798786353e-06
11576,local_mod210_control,11366,-210,8,19,9699690,11366,26,2126,11378,7,17,12,1.2371529399393177e-06
11576,local_any_control,11575,-1,8,19,9699690,11575,25,25,11552,4,7,23,2.371209801550359e-06
11608,complete_uncertified,11608,0,8,19,9699690,11608,58,58,11649,7,17,41,4.226939211459335e-06
11608,local_mod210_control,11398,-210,8,19,9699690,11398,58,2158,11378,7,17,20,2.0619215665655294e-06
11608,local_any_control,11607,-1,8,19,9699690,11607,57,57,11649,7,17,42,4.3300352897876115e-06
11912,complete_uncertified,11912,0,8,19,9699690,11912,152,362,11931,7,17,19,1.958825488237253e-06
11912,local_mod210_control,11702,-210,8,19,9699690,11702,152,152,11668,5,11,34,3.5052666631614e-06
11912,local_any_control,11911,-1,8,19,9699690,11911,151,361,11931,7,17,20,2.0619215665655294e-06
12021,complete_uncertified,12021,0,8,19,9699690,12021,51,471,11998,5,11,23,2.371209801550359e-06
12021,local_mod210_control,11811,-210,8,19,9699690,11811,51,261,11859,6,13,48,4.948611759757271e-06
12021,local_any_control,12020,-1,8,19,9699690,12020,50,470,11998,5,11,22,2.2681137232220826e-06
12268,complete_uncertified,12268,0,8,19,9699690,12268,88,718,12328,5,11,60,6.185764699696588e-06
12268,local_mod210_control,12058,-210,8,19,9699690,12058,88,508,12092,5,11,34,3.5052666631614e-06
12268,local_any_control,12267,-1,8,19,9699690,12267,87,717,12328,5,11,61,6.2888607780248645e-06
13436,complete_uncertified,13436,0,8,19,9699690,13436,206,1886,13438,4,7,2,2.0619215665655295e-07
13436,local_mod210_control,13226,-210,8,19,9699690,13226,206,1676,13228,4,7,2,2.0619215665655295e-07
13436,local_any_control,13435,-1,8,19,9699690,13435,205,1885,13438,4,7,3,3.092882349848294e-07
13556,complete_uncertified,13556,0,8,19,9699690,13556,116,2006,13648,4,7,92,9.484839206201436e-06
13556,local_mod210_control,13346,-210,8,19,9699690,13346,116,1796,13341,7,17,5,5.154803916413823e-07
13556,local_any_control,13555,-1,8,19,9699690,13555,115,2005,13648,4,7,93,9.587935284529711e-06
13622,complete_uncertified,13622,0,8,19,9699690,13622,182,2072,13648,4,7,26,2.680498036535188e-06
13622,local_mod210_control,13832,210,8,19,9699690,13832,182,2282,13858,4,7,26,2.680498036535188e-06
13622,local_any_control,13621,-1,8,19,9699690,13621,181,2071,13648,4,7,27,2.783594114863465e-06
13646,complete_uncertified,13646,0,8,19,9699690,13646,206,2096,13648,4,7,2,2.0619215665655295e-07
13646,local_mod210_control,13856,210,8,19,9699690,13856,206,2306,13858,4,7,2,2.0619215665655295e-07
13646,local_any_control,13645,-1,8,19,9699690,13645,205,2095,13648,4,7,3,3.092882349848294e-07
13851,complete_uncertified,13851,0,8,19,9699690,13851,201,2301,13858,4,7,7,7.216725482979353e-07
13851,local_mod210_control,13641,-210,8,19,9699690,13641,201,2091,13648,4,7,7,7.216725482979353e-07
13851,local_any_control,13850,-1,8,19,9699690,13850,200,2300,13858,4,7,8,8.247686266262118e-07
14608,complete_uncertified,14608,0,8,19,9699690,14608,118,748,14589,6,13,19,1.958825488237253e-06
14608,local_mod210_control,14398,-210,8,19,9699690,14398,118,538,14402,5,11,4,4.123843133131059e-07
14608,local_any_control,14607,-1,8,19,9699690,14607,117,747,14589,6,13,18,1.8557294099089764e-06
14991,complete_uncertified,14991,0,8,19,9699690,14991,81,1131,14968,5,11,23,2.371209801550359e-06
14991,local_mod210_control,14781,-210,8,19,9699690,14781,81,921,14732,5,11,49,5.051707838085547e-06
14991,local_any_control,14990,-1,8,19,9699690,14990,80,1130,14968,5,11,22,2.2681137232220826e-06
15032,complete_uncertified,15032,0,8,19,9699690,15032,122,1172,15062,5,11,30,3.092882349848294e-06
15032,local_mod210_control,14822,-210,8,19,9699690,14822,122,962,14864,8,19,42,4.3300352897876115e-06
15032,local_any_control,15031,-1,8,19,9699690,15031,121,1171,15062,5,11,31,3.1959784281765704e-06
15536,complete_uncertified,15536,0,8,19,9699690,15536,206,1676,15538,4,7,2,2.0619215665655295e-07
15536,local_mod210_control,15326,-210,8,19,9699690,15326,206,1466,15328,4,7,2,2.0619215665655295e-07
15536,local_any_control,15535,-1,8,19,9699690,15535,205,1675,15538,4,7,3,3.092882349848294e-07
15741,complete_uncertified,15741,0,8,19,9699690,15741,201,1881,15748,4,7,7,7.216725482979353e-07
