selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,190581,local_any_control,190580,-1,110,190580,190551,6,13,29,30,-1,2.9897862715200177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,191211,complete_uncertified,191211,0,111,191211,191188,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,191211,local_mod210_control,191001,-210,111,191001,190952,5,11,49,23,26,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,191211,local_any_control,191210,-1,110,191210,191188,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196461,complete_uncertified,196461,0,111,196461,196468,5,11,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196461,local_mod210_control,196251,-210,111,196251,196232,5,11,19,7,12,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196461,local_any_control,196460,-1,110,196460,196468,5,11,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196671,complete_uncertified,196671,0,111,196671,196712,8,19,41,41,0,4.226939211459335e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196671,local_mod210_control,196881,210,111,196881,196892,5,11,11,41,-30,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,196671,local_any_control,196670,-1,110,196670,196712,8,19,42,41,1,4.3300352897876115e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,202761,complete_uncertified,202761,0,111,202761,202738,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,202761,local_mod210_control,202971,210,111,202971,202959,6,13,12,23,-11,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,202761,local_any_control,202760,-1,110,202760,202738,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,203391,complete_uncertified,203391,0,111,203391,203398,5,11,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,203391,local_mod210_control,203181,-210,111,203181,203162,5,11,19,7,12,1.958825488237253e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,203391,local_any_control,203390,-1,110,203390,203398,5,11,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,204861,complete_uncertified,204861,0,111,204861,204812,5,11,49,49,0,5.051707838085547e-06
