n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
16618,5,11,2310,448,8,19,prefix_certificate,28,False
16682,7,17,510510,16682,8,19,prefix_certificate,92,False
16712,5,11,2310,542,8,19,prefix_certificate,122,False
16798,4,7,210,208,8,19,prefix_certificate,208,True
16802,4,7,210,2,8,19,prefix_certificate,2,True
16899,,,,,8,19,no_prefix_certificate_within_max_k,99,False
16911,7,17,510510,16911,8,19,prefix_certificate,111,False
16948,5,11,2310,778,8,19,prefix_certificate,148,False
17008,4,7,210,208,8,19,prefix_certificate,208,True
17012,4,7,210,2,8,19,prefix_certificate,2,True
17019,5,11,2310,849,8,19,prefix_certificate,9,False
17042,5,11,2310,872,8,19,prefix_certificate,32,False
17216,,,,,8,19,no_prefix_certificate_within_max_k,206,False
17218,4,7,210,208,8,19,prefix_certificate,208,True
17222,4,7,210,2,8,19,prefix_certificate,2,True
17266,,,,,8,19,no_prefix_certificate_within_max_k,46,False
17278,5,11,2310,1108,8,19,prefix_certificate,58,False
17319,6,13,30030,17319,8,19,prefix_certificate,99,False
17338,,,,,8,19,no_prefix_certificate_within_max_k,118,False
17349,,,,,8,19,no_prefix_certificate_within_max_k,129,False
17372,5,11,2310,1202,8,19,prefix_certificate,152,False
17428,4,7,210,208,8,19,prefix_certificate,208,True
17432,4,7,210,2,8,19,prefix_certificate,2,True
17608,5,11,2310,1438,8,19,prefix_certificate,178,False
17631,5,11,2310,1461,8,19,prefix_certificate,201,False
17638,4,7,210,208,8,19,prefix_certificate,208,True
17642,4,7,210,2,8,19,prefix_certificate,2,True
17702,5,11,2310,1532,8,19,prefix_certificate,62,False
17739,,,,,8,19,no_prefix_certificate_within_max_k,99,False
17751,,,,,8,19,no_prefix_certificate_within_max_k,111,False
17762,,,,,8,19,no_prefix_certificate_within_max_k,122,False
17769,,,,,8,19,no_prefix_certificate_within_max_k,129,False
17848,4,7,210,208,8,19,prefix_certificate,208,True
17852,4,7,210,2,8,19,prefix_certificate,2,True
17854,,,,,8,19,no_prefix_certificate_within_max_k,4,False
17938,5,11,2310,1768,8,19,prefix_certificate,88,False
18009,,,,,8,19,no_prefix_certificate_within_max_k,159,False
