seed_n,control_role,metric,complete_n,control_n,complete_value,control_value,delta_complete_minus_control
7562,band_ordinary_control,residual_top_gap_share,7562,7498,0.022294248996152267,0.02136864329728127,0.0009256056988709987
7562,band_ordinary_control,residual_gap_max,7562,7498,0.0056183618785616285,0.00586412385331414,-0.00024576197475251194
7562,band_ordinary_control,residual_gap_p90,7562,7498,0.0018625576999538596,0.001943657142834565,-8.109944288070547e-05
7562,band_ordinary_control,residual_gap_entropy,7562,7498,0.9370979493674407,0.9287170858527348,0.008380863514705905
7562,band_ordinary_control,residual_gap_count,7562,7498,294.0,291.0,3.0
7562,band_ordinary_control,residual_uncovered_measure,7562,7498,0.2520094702239709,0.2744265872068833,-0.022417116982912377
13318,local_mod6_control,residual_top_gap_share,13318,13312,0.009986381373524329,0.016791557264445596,-0.006805175890921267
13318,local_mod6_control,residual_gap_max,13318,13312,0.002774015969571053,0.005693657660441387,-0.0029196416908703338
13318,local_mod6_control,residual_gap_p90,13318,13312,0.0012567382077660616,0.0014626517364532687,-0.00020591352868720714
13318,local_mod6_control,residual_gap_entropy,13318,13312,0.9456630275445046,0.9342070454042258,0.011455982140278764
13318,local_mod6_control,residual_gap_count,13318,13312,484.0,537.0,-53.0
13318,local_mod6_control,residual_uncovered_measure,13318,13312,0.2777798950203787,0.3390785959142172,-0.06129870089383849
13318,band_mod6_control,residual_top_gap_share,13318,13336,0.009986381373524329,0.010222730656675401,-0.00023634928315107231
13318,band_mod6_control,residual_gap_max,13318,13336,0.002774015969571053,0.003208904371754695,-0.0004348884021836419
13318,band_mod6_control,residual_gap_p90,13318,13336,0.0012567382077660616,0.0013064764913343074,-4.9738283568245834e-05
13318,band_mod6_control,residual_gap_entropy,13318,13336,0.9456630275445046,0.9357888172579235,0.009874210286581087
13318,band_mod6_control,residual_gap_count,13318,13336,484.0,534.0,-50.0
13318,band_mod6_control,residual_uncovered_measure,13318,13336,0.2777798950203787,0.31389894535265817,-0.03611905033227947
13318,band_ordinary_control,residual_top_gap_share,13318,13335,0.009986381373524329,0.011422062106592218,-0.0014356807330678893
13318,band_ordinary_control,residual_gap_max,13318,13335,0.002774015969571053,0.0036219723902257694,-0.0008479564206547163
13318,band_ordinary_control,residual_gap_p90,13318,13335,0.0012567382077660616,0.0012929589629904759,-3.622075522441426e-05
13318,band_ordinary_control,residual_gap_entropy,13318,13335,0.9456630275445046,0.9371657198501644,0.008497307694340206
13318,band_ordinary_control,residual_gap_count,13318,13335,484.0,532.0,-48.0
13318,band_ordinary_control,residual_uncovered_measure,13318,13335,0.2777798950203787,0.31710319523961933,-0.03932330021924063
13341,local_mod6_control,residual_top_gap_share,13341,13335,0.013609804024547735,0.011422062106592218,0.002187741917955517
13341,local_mod6_control,residual_gap_max,13341,13335,0.004455873362244733,0.0036219723902257694,0.0008339009720189638
13341,local_mod6_control,residual_gap_p90,13341,13335,0.0013704948714289844,0.0012929589629904759,7.753590843850855e-05
13341,local_mod6_control,residual_gap_entropy,13341,13335,0.9395908244842542,0.9371657198501644,0.0024251046340898474
13341,local_mod6_control,residual_gap_count,13341,13335,533.0,532.0,1.0
13341,local_mod6_control,residual_uncovered_measure,13341,13335,0.32740172850452237,0.31710319523961933,0.010298533264903043
13341,band_mod6_control,residual_top_gap_share,13341,13329,0.013609804024547735,0.01115835540541027,0.0024514486191374654
13341,band_mod6_control,residual_gap_max,13341,13329,0.004455873362244733,0.0033986537835356545,0.0010572195787090788
13341,band_mod6_control,residual_gap_p90,13341,13329,0.0013704948714289844,0.0013952052129899695,-2.471034156098506e-05
13341,band_mod6_control,residual_gap_entropy,13341,13329,0.9395908244842542,0.9396921765848063,-0.00010135210055206567
13341,band_mod6_control,residual_gap_count,13341,13329,533.0,520.0,13.0
13341,band_mod6_control,residual_uncovered_measure,13341,13329,0.32740172850452237,0.30458375450989617,0.022817973994626206
13341,band_ordinary_control,residual_top_gap_share,13341,13334,0.013609804024547735,0.011813917717183852,0.0017958863073638826
13341,band_ordinary_control,residual_gap_max,13341,13334,0.004455873362244733,0.004017593267710118,0.00043828009453461547
13341,band_ordinary_control,residual_gap_p90,13341,13334,0.0013704948714289844,0.0014139116876402333,-4.3416816211248876e-05
13341,band_ordinary_control,residual_gap_entropy,13341,13334,0.9395908244842542,0.9383846180776104,0.0012062064066438172
13341,band_ordinary_control,residual_gap_count,13341,13334,533.0,535.0,-2.0
13341,band_ordinary_control,residual_uncovered_measure,13341,13334,0.32740172850452237,0.3400729007843313,-0.012671172279808907
13412,local_mod6_control,residual_top_gap_share,13412,13406,0.014145592080457181,0.01227712472090001,0.0018684673595571709
