n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
51902,8,19,9699690,51902,32,1082,51914,6,13,12,1.2371529399393177e-06
52347,8,19,9699690,52347,57,1527,52352,5,11,5,5.154803916413823e-07
52958,8,19,9699690,52958,38,2138,52922,4,7,36,3.711458819817953e-06
53188,8,19,9699690,53188,58,58,53132,4,7,56,5.773380386383483e-06
53252,8,19,9699690,53252,122,122,53248,5,11,4,4.123843133131059e-07
53300,8,19,9699690,53300,170,170,53271,6,13,29,2.9897862715200177e-06
53308,8,19,9699690,53308,178,178,53338,4,7,30,3.092882349848294e-06
53319,8,19,9699690,53319,189,189,53338,4,7,19,1.958825488237253e-06
53349,8,19,9699690,53349,9,219,53342,4,7,7,7.216725482979353e-07
53679,8,19,9699690,53679,129,549,53672,5,11,7,7.216725482979353e-07
53733,8,19,9699690,53733,183,603,53758,4,7,25,2.5774019582069117e-06
53966,8,19,9699690,53966,206,836,53968,4,7,2,2.0619215665655295e-07
53998,8,19,9699690,53998,28,868,54002,5,11,4,4.123843133131059e-07
54051,8,19,9699690,54051,81,921,54002,5,11,49,5.051707838085547e-06
54394,8,19,9699690,54394,4,1264,54392,4,7,2,2.0619215665655295e-07
55414,8,19,9699690,55414,184,2284,55438,4,7,24,2.4743058798786353e-06
55629,8,19,9699690,55629,189,189,55648,4,7,19,1.958825488237253e-06
55761,8,19,9699690,55761,111,321,55858,4,7,97,1.0000319597842817e-05
56001,8,19,9699690,56001,141,561,55982,5,11,19,1.958825488237253e-06
56008,8,19,9699690,56008,148,568,55982,5,11,26,2.680498036535188e-06
56015,8,19,9699690,56015,155,575,55982,5,11,33,3.4021705848331236e-06
56758,8,19,9699690,56758,58,1318,56702,4,7,56,5.773380386383483e-06
56938,8,19,9699690,56938,28,1498,56912,4,7,26,2.680498036535188e-06
56996,8,19,9699690,56996,86,1556,56972,5,11,24,2.4743058798786353e-06
57021,8,19,9699690,57021,111,1581,56972,5,11,49,5.051707838085547e-06
57116,8,19,9699690,57116,206,1676,57118,4,7,2,2.0619215665655295e-07
57471,8,19,9699690,57471,141,2031,57508,8,19,37,3.8145548981462296e-06
57482,8,19,9699690,57482,152,2042,57508,8,19,26,2.680498036535188e-06
58078,8,19,9699690,58078,118,328,58059,7,17,19,1.958825488237253e-06
58255,8,19,9699690,58255,85,505,58269,6,13,14,1.4433450965958706e-06
58322,8,19,9699690,58322,152,572,58341,7,17,19,1.958825488237253e-06
58551,8,19,9699690,58551,171,801,58528,5,11,23,2.371209801550359e-06
58766,8,19,9699690,58766,176,1016,58798,4,7,32,3.2990745065048473e-06
58772,8,19,9699690,58772,182,1022,58798,4,7,26,2.680498036535188e-06
59109,8,19,9699690,59109,99,1359,59121,6,13,12,1.2371529399393177e-06
59224,8,19,9699690,59224,4,1474,59222,4,7,2,2.0619215665655295e-07
59229,8,19,9699690,59229,9,1479,59222,4,7,7,7.216725482979353e-07
59269,8,19,9699690,59269,49,1519,59282,5,11,13,1.340249018267594e-06
59912,8,19,9699690,59912,62,2162,59942,5,11,30,3.092882349848294e-06
