start,stop,length
71068,71068,1
71139,71139,1
71158,71158,1
71162,71162,1
71188,71188,1
71192,71192,1
71398,71398,1
71402,71402,1
71492,71492,1
71582,71582,1
71601,71601,1
71608,71608,1
71612,71612,1
71614,71614,1
71642,71642,1
71721,71721,1
71728,71728,1
71818,71818,1
71822,71822,1
71882,71882,1
71919,71919,1
71938,71938,1
72028,72028,1
72032,72032,1
72058,72058,1
72152,72152,1
72238,72238,1
72242,72242,1
72249,72249,1
72272,72272,1
72281,72281,1
72328,72328,1
72339,72339,1
72362,72362,1
72388,72388,1
72448,72448,1
72452,72452,1
72459,72459,1
72482,72482,1
72658,72658,1
72662,72662,1
72718,72718,1
72771,72771,1
72812,72812,1
72868,72868,1
72872,72872,1
73048,73048,1
73071,73071,1
73078,73078,1
73082,73082,1
73142,73142,1
73288,73288,1
73292,73292,1
73378,73378,1
73472,73472,1
73496,73496,1
73498,73498,1
73502,73502,1
73708,73708,1
73712,73712,1
73802,73802,1
73918,73918,1
