seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
12268,local_any_control,12268,12267,circular_residue_distance,60.0,61.0,-1.0
12268,local_any_control,12268,12267,normalized_residue_distance,6.185764699696588e-06,6.2888607780248645e-06,-1.0309607832827638e-07
12268,local_mod210_control,12268,12058,circular_residue_distance,60.0,34.0,26.0
12268,local_mod210_control,12268,12058,normalized_residue_distance,6.185764699696588e-06,3.5052666631614e-06,2.680498036535188e-06
13436,local_any_control,13436,13435,circular_residue_distance,2.0,3.0,-1.0
13436,local_any_control,13436,13435,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
13436,local_mod210_control,13436,13226,circular_residue_distance,2.0,2.0,0.0
13436,local_mod210_control,13436,13226,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
13556,local_any_control,13556,13555,circular_residue_distance,92.0,93.0,-1.0
13556,local_any_control,13556,13555,normalized_residue_distance,9.484839206201436e-06,9.587935284529711e-06,-1.0309607832827554e-07
13556,local_mod210_control,13556,13346,circular_residue_distance,92.0,5.0,87.0
13556,local_mod210_control,13556,13346,normalized_residue_distance,9.484839206201436e-06,5.154803916413823e-07,8.969358814560053e-06
13622,local_any_control,13622,13621,circular_residue_distance,26.0,27.0,-1.0
13622,local_any_control,13622,13621,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
13622,local_mod210_control,13622,13832,circular_residue_distance,26.0,26.0,0.0
13622,local_mod210_control,13622,13832,normalized_residue_distance,2.680498036535188e-06,2.680498036535188e-06,0.0
13646,local_any_control,13646,13645,circular_residue_distance,2.0,3.0,-1.0
13646,local_any_control,13646,13645,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
13646,local_mod210_control,13646,13856,circular_residue_distance,2.0,2.0,0.0
13646,local_mod210_control,13646,13856,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
13851,local_any_control,13851,13850,circular_residue_distance,7.0,8.0,-1.0
13851,local_any_control,13851,13850,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
13851,local_mod210_control,13851,13641,circular_residue_distance,7.0,7.0,0.0
13851,local_mod210_control,13851,13641,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
14608,local_any_control,14608,14607,circular_residue_distance,19.0,18.0,1.0
